origin,destination,loaded_on,discharged_on,ocean_days
Ho Chi Minh City,Long Beach,2021-05-29,2021-07-19,51
Ho Chi Minh City,Long Beach,2021-05-29,2021-07-19,51
Ho Chi Minh City,Long Beach,2021-05-30,2021-07-08,39
Ho Chi Minh City,Long Beach,2021-05-30,2021-07-19,50
Yantian,Los Angeles,2021-05-30,2021-06-23,24
Cai Mep,Los Angeles,2021-05-30,2021-07-07,38
Ho Chi Minh City,Long Beach,2021-05-31,2021-07-22,52
Ho Chi Minh City,Long Beach,2021-05-31,2021-07-23,53
Ho Chi Minh City,Long Beach,2021-05-31,2021-07-26,56
Ho Chi Minh City,Long Beach,2021-05-31,2021-07-17,47
Vung Tau,Los Angeles,2021-05-31,2021-06-29,29
Ho Chi Minh City,Long Beach,2021-05-31,2021-07-27,57
Ho Chi Minh City,Long Beach,2021-06-01,2021-07-22,51
Ho Chi Minh City,Long Beach,2021-06-01,2021-07-07,36
Ho Chi Minh City,Long Beach,2021-06-01,2021-07-22,51
Ho Chi Minh City,Long Beach,2021-06-01,2021-07-08,37
Ho Chi Minh City,Long Beach,2021-06-01,2021-07-17,46
Ho Chi Minh City,Long Beach,2021-06-01,2021-07-17,46
Mundra,Savannah,2021-06-02,2021-07-15,43
Ho Chi Minh City,Long Beach,2021-06-02,2021-07-26,54
Ho Chi Minh City,Long Beach,2021-06-02,2021-07-26,54
Shanghai,Long Beach,2021-06-02,2021-06-17,15
Shanghai,Long Beach,2021-06-02,2021-06-18,16
Ningbo,Los Angeles,2021-06-04,2021-06-26,22
Chattogram,Long Beach,2021-06-04,2021-08-17,74
Chattogram,Long Beach,2021-06-04,2021-08-08,65
Yantian,Long Beach,2021-06-05,2021-06-24,19
Yantian,Long Beach,2021-06-05,2021-06-24,19
Yantian,Long Beach,2021-06-05,2021-06-23,18
Yantian,Long Beach,2021-06-05,2021-06-23,18
Ho Chi Minh City,Long Beach,2021-06-05,2021-07-08,33
Ho Chi Minh City,Long Beach,2021-06-05,2021-07-17,42
Ho Chi Minh City,Long Beach,2021-06-05,2021-07-23,48
Nansha,Oakland,2021-06-05,2021-07-17,42
Ningbo,Houston,2021-06-05,2021-07-20,45
Shanghai,Long Beach,2021-06-06,2021-06-19,13
Shanghai,Long Beach,2021-06-06,2021-06-19,13
Ningbo,Los Angeles,2021-06-07,2021-06-22,15
Nansha,Oakland,2021-06-07,2021-07-12,35
Ningbo,Los Angeles,2021-06-07,2021-06-22,15
Nansha,Oakland,2021-06-07,2021-07-12,35
Chattogram,Long Beach,2021-06-09,2021-08-18,70
Shekou,Long Beach,2021-06-10,2021-07-28,48
Shekou,Long Beach,2021-06-10,2021-07-28,48
Ho Chi Minh City,Long Beach,2021-06-10,2021-07-22,42
Ho Chi Minh City,Long Beach,2021-06-10,2021-07-22,42
Shekou,Long Beach,2021-06-10,2021-07-28,48
Ho Chi Minh City,Long Beach,2021-06-10,2021-07-12,32
Ho Chi Minh City,Long Beach,2021-06-10,2021-07-17,37
Ho Chi Minh City,Long Beach,2021-06-11,2021-07-17,36
Vung Tau,Los Angeles,2021-06-11,2021-08-06,56
Ho Chi Minh City,Long Beach,2021-06-11,2021-07-22,41
Shekou,Long Beach,2021-06-12,2021-08-16,65
Cai Mep,Long Beach,2021-06-12,2021-07-14,32
Ho Chi Minh City,Long Beach,2021-06-12,2021-07-23,41
Vung Tau,Los Angeles,2021-06-12,2021-06-29,17
Shanghai,Long Beach,2021-06-13,2021-06-30,17
Ningbo,Houston,2021-06-13,2021-07-14,31
Fuzhou,Los Angeles,2021-06-13,2021-08-05,53
Kaohsiung,Seattle,2021-06-14,2021-07-01,17
Ningbo,Los Angeles,2021-06-15,2021-07-02,17
Ningbo,Houston,2021-06-16,2021-08-04,49
Cai Mep,Los Angeles,2021-06-16,2021-07-16,30
Vung Tau,Los Angeles,2021-06-16,2021-07-20,34
Chattogram,Long Beach,2021-06-17,2021-08-23,67
Chattogram,Long Beach,2021-06-17,2021-08-27,71
Cai Mep,Long Beach,2021-06-17,2021-07-23,36
Chattogram,Long Beach,2021-06-17,2021-08-23,67
Chattogram,Long Beach,2021-06-17,2021-08-23,67
Cai Mep,Long Beach,2021-06-17,2021-07-08,21
Chattogram,Long Beach,2021-06-17,2021-08-23,67
Cai Mep,Long Beach,2021-06-17,2021-07-21,34
Vung Tau,Los Angeles,2021-06-18,2021-08-01,44
Los Angeles,Laem Chabang,2021-06-18,2021-07-19,31
Tianjin Xingang,Los Angeles,2021-06-19,2021-08-19,61
Vung Tau,Los Angeles,2021-06-19,2021-08-08,50
Shanghai,Houston,2021-06-19,2021-07-20,31
Vung Tau,Los Angeles,2021-06-19,2021-08-08,50
Shanghai,Houston,2021-06-19,2021-07-21,32
Vung Tau,Los Angeles,2021-06-19,2021-08-08,50
Los Angeles,Contecar,2021-06-19,2021-07-16,27
Ningbo,Houston,2021-06-19,2021-07-25,36
Shanghai,Houston,2021-06-19,2021-07-20,31
Vung Tau,Los Angeles,2021-06-19,2021-08-08,50
Ningbo,Houston,2021-06-19,2021-07-17,28
Xiamen,Los Angeles,2021-06-20,2021-07-03,13
Vung Tau,Los Angeles,2021-06-20,2021-08-01,42
Vung Tau,Los Angeles,2021-06-20,2021-08-08,49
Cai Mep,Los Angeles,2021-06-21,2021-07-08,17
Shanghai,Los Angeles,2021-06-22,2021-07-17,25
Shanghai,Los Angeles,2021-06-22,2021-07-16,24
Cai Mep,Long Beach,2021-06-22,2021-07-26,34
Los Angeles,Xiamen,2021-06-23,2021-07-28,35
Ho Chi Minh City,Long Beach,2021-06-23,2021-07-24,31
Ningbo,Houston,2021-06-24,2021-08-20,57
Ho Chi Minh City,Long Beach,2021-06-24,2021-07-25,31
Los Angeles,Singapore,2021-06-24,2021-07-17,23
Long Beach,Cai Mep,2021-06-26,2021-07-13,17
Vung Tau,Los Angeles,2021-06-26,2021-07-26,30
Ho Chi Minh City,Long Beach,2021-06-26,2021-07-30,34
Vung Tau,Los Angeles,2021-06-26,2021-07-26,30
Ho Chi Minh City,Long Beach,2021-06-26,2021-08-04,39
Shanghai,Long Beach,2021-06-26,2021-07-12,16
Long Beach,Kaohsiung,2021-06-26,2021-07-11,15
Ningbo,Los Angeles,2021-06-27,2021-07-14,17
Los Angeles,Port Muhammad Bin Qasim,2021-06-27,2021-08-14,48
New Orleans,Buenos Aires,2021-06-27,2021-07-22,25
Ningbo,Los Angeles,2021-06-27,2021-07-14,17
Tianjin Xingang,Los Angeles,2021-06-27,2021-08-19,53
Ho Chi Minh City,Long Beach,2021-06-27,2021-08-04,38
Nansha,Los Angeles,2021-06-27,2021-07-25,28
Nansha,Los Angeles,2021-06-27,2021-07-24,27
Tianjin Xingang,Los Angeles,2021-06-28,2021-08-16,49
Ho Chi Minh City,Long Beach,2021-06-28,2021-08-05,38
Yantian,Los Angeles,2021-06-29,2021-08-17,49
Ningbo,Sokhna Port,2021-06-29,2021-07-25,26
Long Beach,Kaohsiung,2021-06-29,2021-07-14,15
Vung Tau,Los Angeles,2021-06-29,2021-08-14,46
Ningbo,Houston,2021-06-29,2021-08-18,50
Ningbo,Houston,2021-06-29,2021-08-19,51
Ningbo,Houston,2021-06-29,2021-08-19,51
Long Beach,Kaohsiung,2021-06-29,2021-07-14,15
Ningbo,Vancouver,2021-06-30,2021-07-19,19
Chattogram,Long Beach,2021-06-30,2021-09-12,74
Yantian,Rotterdam,2021-06-30,2021-07-31,31
Ningbo,Houston,2021-06-30,2021-08-19,50
Shanghai,Los Angeles,2021-06-30,2021-08-05,36
Shekou,Long Beach,2021-06-30,2021-07-22,22
Ningbo,Houston,2021-06-30,2021-08-17,48
Vung Tau,Los Angeles,2021-06-30,2021-08-14,45
Vung Tau,Los Angeles,2021-07-01,2021-08-10,40
Cai Mep,Los Angeles,2021-07-01,2021-07-27,26
Huangpu,Los Angeles,2021-07-01,2021-08-24,54
Shanghai,Seattle,2021-07-01,2021-07-22,21
Vung Tau,Los Angeles,2021-07-01,2021-09-22,83
Shekou,Long Beach,2021-07-01,2021-08-25,55
Tianjin Xingang,Los Angeles,2021-07-02,2021-08-29,58
Tianjin Xingang,Los Angeles,2021-07-02,2021-09-23,83
Tianjin Xingang,Los Angeles,2021-07-02,2021-09-02,62
Cai Mep,Los Angeles,2021-07-02,2021-08-01,30
Tianjin Xingang,Los Angeles,2021-07-02,2021-09-03,63
Cai Mep,Los Angeles,2021-07-02,2021-07-27,25
Cai Mep,Los Angeles,2021-07-02,2021-07-31,29
Nansha,Long Beach,2021-07-03,2021-07-21,18
Ningbo,Los Angeles,2021-07-03,2021-07-26,23
Tianjin Xingang,Long Beach,2021-07-03,2021-09-04,63
Ho Chi Minh City,Long Beach,2021-07-03,2021-08-18,46
Nansha,Long Beach,2021-07-03,2021-07-23,20
Nansha,Long Beach,2021-07-03,2021-07-23,20
Ningbo,Hamburg,2021-07-04,2021-08-16,43
Vung Tau,Los Angeles,2021-07-04,2021-08-10,37
Nansha,Long Beach,2021-07-05,2021-07-29,24
Nansha,Long Beach,2021-07-05,2021-07-27,22
Nansha,Long Beach,2021-07-05,2021-07-29,24
Shanghai,Houston,2021-07-05,2021-08-11,37
Nansha,Long Beach,2021-07-05,2021-07-29,24
Nansha,Long Beach,2021-07-05,2021-08-04,30
Nansha,Long Beach,2021-07-05,2021-08-03,29
Nansha,Long Beach,2021-07-05,2021-08-02,28
Nansha,Long Beach,2021-07-05,2021-07-26,21
Nansha,Long Beach,2021-07-05,2021-07-26,21
Shanghai,Hamburg,2021-07-06,2021-08-11,36
Shanghai,Oakland,2021-07-06,2021-08-18,43
Ho Chi Minh City,Long Beach,2021-07-08,2021-08-19,42
Ho Chi Minh City,Long Beach,2021-07-08,2021-08-31,54
Vung Tau,Los Angeles,2021-07-09,2021-08-12,34
Vung Tau,Long Beach,2021-07-09,2021-08-12,34
Los Angeles,Taichung,2021-07-10,2021-08-15,36
Yantian,Houston,2021-07-11,2021-09-11,62
Los Angeles,Hong Kong,2021-07-11,2021-08-07,27
Ho Chi Minh City,Long Beach,2021-07-11,2021-08-18,38
Ho Chi Minh City,Long Beach,2021-07-12,2021-09-02,52
Shanghai,Houston,2021-07-12,2021-09-17,67
Yantian,Houston,2021-07-13,2021-09-12,61
Yantian,Houston,2021-07-14,2021-08-30,47
Tianjin Xingang,Los Angeles,2021-07-14,2021-08-18,35
Ningbo,Houston,2021-07-14,2021-08-14,31
Yantian,Houston,2021-07-14,2021-08-23,40
Qingdao,Long Beach,2021-07-15,2021-09-21,68
Long Beach,Busan,2021-07-15,2021-08-02,18
Long Beach,Busan,2021-07-15,2021-08-07,23
Hong Kong,Long Beach,2021-07-15,2021-08-14,30
Long Beach,Shanghai,2021-07-15,2021-07-31,16
Yantian,Los Angeles,2021-07-15,2021-09-15,62
Shanghai,Houston,2021-07-16,2021-08-21,36
Shanghai,Houston,2021-07-16,2021-09-10,56
Yantian,Houston,2021-07-16,2021-08-24,39
Ningbo,Felixstowe,2021-07-16,2021-08-18,33
Shanghai,Houston,2021-07-16,2021-08-21,36
Ningbo,Durban,2021-07-16,2021-08-07,22
Qingdao,Los Angeles,2021-07-17,2021-08-16,30
Ningbo,Los Angeles,2021-07-17,2021-09-23,68
Long Beach,Shanghai,2021-07-17,2021-07-29,12
Ho Chi Minh City,Long Beach,2021-07-17,2021-08-29,43
Ho Chi Minh City,Long Beach,2021-07-17,2021-09-02,47
Nansha,Los Angeles,2021-07-17,2021-08-22,36
Ningbo,Los Angeles,2021-07-17,2021-09-22,67
Long Beach,Ho Chi Minh City,2021-07-19,2021-08-19,31
Chattogram,Long Beach,2021-07-19,2021-10-03,76
Cai Mep,Long Beach,2021-07-19,2021-08-22,34
Long Beach,Kaohsiung,2021-07-19,2021-08-04,16
Ho Chi Minh City,Long Beach,2021-07-20,2021-09-01,43
Ho Chi Minh City,Long Beach,2021-07-20,2021-08-30,41
Cai Mep,Long Beach,2021-07-20,2021-08-14,25
Vung Tau,Los Angeles,2021-07-20,2021-08-26,37
Cai Mep,Long Beach,2021-07-20,2021-08-13,24
Cai Mep,Long Beach,2021-07-20,2021-08-13,24
Houston,Santos,2021-07-20,2021-08-05,16
Los Angeles,Manila,2021-07-21,2021-09-14,55
Ho Chi Minh City,Long Beach,2021-07-21,2021-09-08,49
Cai Mep,Long Beach,2021-07-21,2021-08-07,17
Ho Chi Minh City,Long Beach,2021-07-21,2021-09-05,46
Oakland,Tianjin Xingang,2021-07-22,2021-09-10,50
Ningbo,Latakia,2021-07-22,2021-08-30,39
Ho Chi Minh City,Long Beach,2021-07-22,2021-09-06,46
Houston,Cartagena,2021-07-22,2021-08-07,16
Ho Chi Minh City,Long Beach,2021-07-22,2021-09-08,48
Ho Chi Minh City,Long Beach,2021-07-23,2021-09-03,42
Ho Chi Minh City,Long Beach,2021-07-23,2021-09-02,41
Ho Chi Minh City,Long Beach,2021-07-23,2021-09-05,44
Ho Chi Minh City,Long Beach,2021-07-23,2021-09-02,41
Ho Chi Minh City,Long Beach,2021-07-23,2021-09-07,46
Ho Chi Minh City,Long Beach,2021-07-24,2021-09-02,40
Ho Chi Minh City,Long Beach,2021-07-24,2021-09-05,43
Los Angeles,Chattogram,2021-07-24,2021-08-29,36
Ho Chi Minh City,Long Beach,2021-07-24,2021-09-05,43
Vung Tau,Los Angeles,2021-07-26,2021-08-25,30
Vung Tau,Los Angeles,2021-07-26,2021-08-25,30
Long Beach,Cai Mep,2021-07-26,2021-08-12,17
Yantian,Long Beach,2021-07-27,2021-08-16,20
Los Angeles,Cai Mep,2021-07-27,2021-08-14,18
Yantian,Long Beach,2021-07-27,2021-08-13,17
Yantian,Long Beach,2021-07-27,2021-08-14,18
Cai Mep,Long Beach,2021-07-27,2021-08-26,30
Cai Mep,Long Beach,2021-07-27,2021-08-26,30
Cai Mep,Long Beach,2021-07-27,2021-08-27,31
Los Angeles,Ningbo,2021-07-27,2021-08-15,19
Cai Mep,Los Angeles,2021-07-28,2021-08-30,33
Savannah,Port Muhammad Bin Qasim,2021-07-28,2021-09-09,43
Tianjin Xingang,Long Beach,2021-07-29,2021-10-01,64
Tianjin Xingang,Long Beach,2021-07-29,2021-09-27,60
Tianjin Xingang,Long Beach,2021-07-29,2021-09-29,62
Shanghai,Houston,2021-07-29,2021-09-08,41
Shanghai,Houston,2021-07-29,2021-09-09,42
Houston,Ningbo,2021-07-29,2021-09-06,39
Ningbo,Long Beach,2021-07-30,2021-08-31,32
Zhongshan,Los Angeles,2021-07-30,2021-10-05,67
Ho Chi Minh City,Long Beach,2021-07-30,2021-09-13,45
Ningbo,Houston,2021-07-30,2021-09-10,42
Dallas,Pelabuhan Klang,2021-07-30,2021-09-12,44
Ho Chi Minh City,Long Beach,2021-07-31,2021-09-14,45
Tianjin Xingang,Long Beach,2021-08-01,2021-09-15,45
Shanghai,Houston,2021-08-01,2021-08-26,25
Tianjin Xingang,Long Beach,2021-08-01,2021-09-15,45
Yantian,Houston,2021-08-03,2021-09-05,33
Yantian,Houston,2021-08-03,2021-09-05,33
Yantian,Houston,2021-08-03,2021-09-05,33
Shanghai,Long Beach,2021-08-04,2021-09-10,37
Ningbo,Houston,2021-08-04,2021-09-01,28
Yantian,Long Beach,2021-08-04,2021-08-26,22
Yantian,Long Beach,2021-08-04,2021-08-26,22
Yantian,Long Beach,2021-08-04,2021-08-26,22
Shanghai,Houston,2021-08-04,2021-09-09,36
Shekou,Long Beach,2021-08-05,2021-09-23,49
Sonipat,Houston,2021-08-07,2021-10-22,76
Vung Tau,Los Angeles,2021-08-08,2021-09-19,42
Long Beach,Karachi,2021-08-09,2021-09-22,44
Yantian,Long Beach,2021-08-09,2021-09-17,39
Shanghai,Long Beach,2021-08-09,2021-09-07,29
Shanghai,Long Beach,2021-08-09,2021-09-07,29
Shanghai,Long Beach,2021-08-09,2021-09-07,29
Vung Tau,Los Angeles,2021-08-09,2021-09-17,39
Yantian,Rotterdam,2021-08-09,2021-09-08,30
Vung Tau,Los Angeles,2021-08-09,2021-09-19,41
Cai Mep,Long Beach,2021-08-10,2021-09-08,29
Chattogram,Long Beach,2021-08-10,2021-10-24,75
Shanghai,Houston,2021-08-11,2021-09-13,33
Los Angeles,Taipei,2021-08-11,2021-08-26,15
Shanghai,Houston,2021-08-11,2021-09-12,32
Los Angeles,Pelabuhan Klang,2021-08-12,2021-09-13,32
Haiphong,Baltimore,2021-08-12,2021-11-12,92
Los Angeles,Pelabuhan Klang,2021-08-12,2021-09-03,22
Los Angeles,Westport,2021-08-15,2021-09-08,24
Chattogram,Long Beach,2021-08-17,2021-10-23,67
Chattogram,Long Beach,2021-08-17,2021-10-23,67
Houston,Manaus,2021-08-18,2021-09-22,35
Chattogram,Long Beach,2021-08-19,2021-10-23,65
Busan,Savannah,2021-08-19,2021-10-06,48
Yantian,Long Beach,2021-08-20,2021-09-07,18
Yantian,Long Beach,2021-08-20,2021-09-07,18
Shanghai,Houston,2021-08-20,2021-09-28,39
Yantian,Long Beach,2021-08-20,2021-09-10,21
Yantian,Long Beach,2021-08-20,2021-09-10,21
Yantian,Long Beach,2021-08-20,2021-09-07,18
Los Angeles,Kaohsiung,2021-08-21,2021-09-07,17
Long Beach,Shanghai,2021-08-22,2021-09-11,20
Shanghai,Long Beach,2021-08-22,2021-09-12,21
Shanghai,Long Beach,2021-08-22,2021-09-12,21
Los Angeles,Dalian,2021-08-22,2021-09-22,31
Shanghai,Long Beach,2021-08-22,2021-09-11,20
Yantian,Los Angeles,2021-08-23,2021-09-17,25
Cai Mep,Long Beach,2021-08-24,2021-09-22,29
Cai Mep,Long Beach,2021-08-24,2021-09-21,28
Cai Mep,Long Beach,2021-08-24,2021-09-21,28
Yantian,Houston,2021-08-24,2021-09-20,27
Haiphong,Long Beach,2021-08-25,2021-10-13,49
Cai Mep,Long Beach,2021-08-27,2021-10-13,47
Vung Tau,Long Beach,2021-08-27,2021-10-09,43
Zhoushan,Sydney,2021-08-27,2021-09-07,11
Shanghai,Long Beach,2021-08-28,2021-09-17,20
Shanghai,Long Beach,2021-08-28,2021-09-17,20
Shanghai,Tacoma,2021-08-28,2021-10-05,38
Shanghai,Long Beach,2021-08-28,2021-09-17,20
Tianjin Xingang,Long Beach,2021-08-28,2021-12-10,104
Cai Mep,Long Beach,2021-08-30,2021-09-30,31
Yantian,Houston,2021-08-30,2021-10-07,38
Cai Mep,Long Beach,2021-08-30,2021-10-01,32
Yantian,Houston,2021-08-31,2021-09-26,26
Shanghai,Tacoma,2021-08-31,2021-10-20,50
Sonipat,Houston,2021-09-02,2021-11-13,72
Shanghai,Long Beach,2021-09-02,2021-09-19,17
Yantian,Houston,2021-09-03,2021-10-08,35
Cai Mep,Long Beach,2021-09-03,2021-11-01,59
Laem Chabang,Kobe,2021-09-03,2021-09-10,7
Ningbo,Houston,2021-09-04,2021-10-05,31
Ningbo,Houston,2021-09-04,2021-10-05,31
Yantian,Long Beach,2021-09-05,2021-09-24,19
Yantian,Long Beach,2021-09-05,2021-09-21,16
Yantian,Long Beach,2021-09-05,2021-09-21,16
Los Angeles,Dammam,2021-09-06,2021-10-17,41
Houston,Kaohsiung,2021-09-07,2021-10-11,34
Cai Mep,Long Beach,2021-09-07,2021-10-08,31
Yantian,Houston,2021-09-08,2021-10-12,34
Yantian,Houston,2021-09-09,2021-10-21,42
Shanghai,Long Beach,2021-09-10,2021-09-27,17
Semarang,Novorossiysk,2021-09-10,2021-10-27,47
Shanghai,Long Beach,2021-09-10,2021-09-26,16
Yantian,Long Beach,2021-09-10,2021-09-26,16
Shanghai,Long Beach,2021-09-10,2021-09-26,16
Yantian,Long Beach,2021-09-10,2021-09-26,16
Shekou,Houston,2021-09-11,2021-10-28,47
Vung Tau,Los Angeles,2021-09-11,2021-10-31,50
Vung Tau,Los Angeles,2021-09-12,2021-11-01,50
Vung Tau,Los Angeles,2021-09-13,2021-11-01,49
Houston,Westport,2021-09-13,2021-11-18,66
Vung Tau,Los Angeles,2021-09-14,2021-10-31,47
Ningbo,Houston,2021-09-17,2021-10-26,39
Ningbo,Houston,2021-09-17,2021-10-27,40
Zhuhai,Houston,2021-09-17,2021-11-02,46
Oakland,Kaohsiung,2021-09-17,2021-10-30,43
Yantian,Long Beach,2021-09-18,2021-10-08,20
Shanghai,Long Beach,2021-09-18,2021-10-14,26
Yantian,Long Beach,2021-09-18,2021-10-08,20
Yantian,Long Beach,2021-09-18,2021-10-10,22
Yantian,Long Beach,2021-09-18,2021-10-08,20
Ningbo,Houston,2021-09-19,2021-10-27,38
Shanghai,Long Beach,2021-09-21,2021-10-05,14
Houston,Kotka,2021-09-21,2021-10-19,28
Shanghai,Long Beach,2021-09-21,2021-10-05,14
Los Angeles,Qingdao,2021-09-21,2021-10-08,17
Cai Mep,Long Beach,2021-09-21,2021-10-21,30
Los Angeles,Qingdao,2021-09-21,2021-10-08,17
Cai Mep,Long Beach,2021-09-21,2021-10-26,35
Cai Mep,Long Beach,2021-09-21,2021-10-26,35
Ningbo,Houston,2021-09-22,2021-10-30,38
Xiamen,Houston,2021-09-23,2021-11-23,61
Xiamen,Houston,2021-09-23,2021-11-23,61
Los Angeles,Tokyo,2021-09-23,2021-10-10,17
Yantian,Long Beach,2021-09-24,2021-10-17,23
Ningbo,Houston,2021-09-24,2021-10-29,35
Vung Tau,Los Angeles,2021-09-24,2021-11-11,48
Yantian,Long Beach,2021-09-24,2021-10-15,21
Yantian,Long Beach,2021-09-24,2021-10-17,23
Yantian,Savannah,2021-09-24,2021-10-18,24
Shanghai,Houston,2021-09-25,2021-11-04,40
Yantian,Houston,2021-09-25,2021-11-06,42
Vung Tau,Los Angeles,2021-09-26,2021-11-09,44
Vung Tau,Los Angeles,2021-09-27,2021-11-11,45
Fuzhou,Los Angeles,2021-09-27,2021-12-21,85
Zhuhai,Houston,2021-09-27,2021-11-15,49
Vung Tau,Los Angeles,2021-09-28,2021-11-11,44
Vancouver,Tianjin Xingang,2021-09-28,2021-10-31,33
Yantian,Long Beach,2021-09-30,2021-10-19,19
Yantian,Long Beach,2021-09-30,2021-10-20,20
Yantian,Long Beach,2021-09-30,2021-10-19,19
Ningbo,Long Beach,2021-10-01,2021-10-27,26
Vung Tau,Los Angeles,2021-10-01,2021-11-15,45
Ningbo,Long Beach,2021-10-01,2021-10-25,24
Vung Tau,Los Angeles,2021-10-01,2021-11-15,45
Ningbo,Long Beach,2021-10-01,2021-10-24,23
Shanghai,Long Beach,2021-10-02,2021-10-20,18
Vung Tau,Los Angeles,2021-10-02,2021-11-15,44
Vung Tau,Los Angeles,2021-10-02,2021-11-15,44
Shanghai,Long Beach,2021-10-02,2021-10-20,18
Vung Tau,Los Angeles,2021-10-02,2021-11-27,56
Shanghai,Long Beach,2021-10-02,2021-10-20,18
Vung Tau,Los Angeles,2021-10-03,2021-11-15,43
Yantian,Oakland,2021-10-05,2021-11-03,29
Yantian,Oakland,2021-10-06,2021-11-02,27
Yantian,Long Beach,2021-10-07,2021-10-29,22
Yantian,Oakland,2021-10-07,2021-11-03,27
Yantian,Long Beach,2021-10-07,2021-10-28,21
Yantian,Long Beach,2021-10-07,2021-10-25,18
Shekou,Houston,2021-10-07,2021-11-11,35
Vung Tau,Los Angeles,2021-10-09,2021-12-01,53
Vung Tau,Los Angeles,2021-10-09,2021-11-30,52
Vung Tau,Los Angeles,2021-10-10,2021-12-01,52
Ningbo,Houston,2021-10-10,2021-11-11,32
Vung Tau,Los Angeles,2021-10-10,2021-12-01,52
Yantian,Long Beach,2021-10-11,2021-10-31,20
Oakland,Dalian,2021-10-11,2021-11-12,32
Yantian,Long Beach,2021-10-11,2021-10-30,19
Yantian,Long Beach,2021-10-11,2021-11-01,21
Yantian,Long Beach,2021-10-11,2021-11-03,23
Yantian,Long Beach,2021-10-11,2021-10-31,20
Shanghai,Long Beach,2021-10-12,2021-10-29,17
Shanghai,Long Beach,2021-10-12,2021-10-29,17
Shanghai,Long Beach,2021-10-12,2021-10-28,16
Chattogram,Long Beach,2021-10-14,2022-01-29,107
Chattogram,Long Beach,2021-10-14,2022-01-29,107
Chattogram,Long Beach,2021-10-14,2022-01-24,102
Yantian,Los Angeles,2021-10-14,2021-12-30,77
Chattogram,Long Beach,2021-10-14,2022-01-29,107
Tianjin Xingang,Long Beach,2021-10-16,2021-12-02,47
Tacoma,Jakarta,2021-10-16,2021-11-19,34
Shanghai Hongqiao International,Long Beach,2021-10-16,2021-12-14,59
Ningbo,Houston,2021-10-16,2021-12-01,46
Antwerpen,Stavanger,2021-10-17,2021-11-04,18
Shanghai,Long Beach,2021-10-18,2021-11-03,16
Shanghai,Long Beach,2021-10-18,2021-11-03,16
Shanghai,Long Beach,2021-10-18,2021-11-03,16
Ningbo,Fort Worth,2021-10-18,2021-12-10,53
Shekou,Long Beach,2021-10-19,2021-11-18,30
Yantian,Houston,2021-10-19,2021-11-14,26
New York City,Jeddah,2021-10-20,2021-11-17,28
Ningbo,Fort Worth,2021-10-20,2021-12-02,43
Vung Tau,Oakland,2021-10-21,2021-11-19,29
Vung Tau,Oakland,2021-10-21,2021-11-19,29
Vung Tau,Oakland,2021-10-21,2021-11-19,29
Vung Tau,Oakland,2021-10-21,2021-11-19,29
Vung Tau,Oakland,2021-10-22,2021-11-19,28
Izmit,Newark,2021-10-22,2021-11-23,32
Vung Tau,Los Angeles,2021-10-22,2021-12-04,43
Vung Tau,Oakland,2021-10-22,2021-11-20,29
Vung Tau,Oakland,2021-10-23,2021-11-19,27
Yantian,Savannah,2021-10-23,2021-12-20,58
Yantian,Long Beach,2021-10-23,2021-11-18,26
Shanghai,Los Angeles,2021-10-24,2021-12-29,66
Shanghai,Los Angeles,2021-10-25,2022-01-02,69
Yantian,Long Beach,2021-10-25,2021-12-25,61
Yantian,Long Beach,2021-10-25,2021-11-12,18
Yantian,Long Beach,2021-10-25,2021-11-12,18
Yantian,Long Beach,2021-10-25,2021-12-25,61
Haiphong,Los Angeles,2021-10-25,2021-12-28,64
Yantian,Long Beach,2021-10-25,2021-11-12,18
Tianjin Xingang,Long Beach,2021-10-26,2021-12-20,55
Shanghai,Los Angeles,2021-10-26,2022-01-02,68
Yantian,Long Beach,2021-10-26,2021-12-25,60
Yantian,Savannah,2021-10-26,2021-12-20,55
Shanghai,Los Angeles,2021-10-26,2022-01-02,68
Vung Tau,Los Angeles,2021-10-26,2021-12-21,56
Tianjin Xingang,Long Beach,2021-10-27,2021-12-24,58
Vung Tau,Los Angeles,2021-10-27,2021-12-21,55
Yantian,Long Beach,2021-10-27,2021-11-15,19
Yantian,Long Beach,2021-10-27,2021-11-15,19
Tianjin Xingang,Long Beach,2021-10-27,2021-12-20,54
Yantian,Long Beach,2021-10-27,2021-11-14,18
Yantian,Long Beach,2021-10-27,2021-11-15,19
Vung Tau,Los Angeles,2021-10-28,2021-12-17,50
Vung Tau,Los Angeles,2021-10-28,2021-12-21,54
Tianjin Xingang,Long Beach,2021-10-28,2021-12-24,57
Ningbo,Fort Worth,2021-10-29,2021-12-13,45
Vung Tau,Los Angeles,2021-10-29,2021-12-21,53
Ningbo,Fort Worth,2021-10-29,2021-12-13,45
Ningbo,Los Angeles,2021-10-29,2021-11-18,20
Yantian,Long Beach,2021-10-29,2022-01-05,68
Shanghai,Los Angeles,2021-10-29,2021-11-12,14
Vung Tau,Los Angeles,2021-10-29,2021-12-21,53
Vung Tau,Los Angeles,2021-10-29,2021-12-21,53
Vung Tau,Los Angeles,2021-10-29,2021-12-21,53
Yantian,Long Beach,2021-10-30,2022-01-10,72
Ningbo,Fort Worth,2021-10-30,2021-12-12,43
Shekou,Long Beach,2021-10-30,2021-11-30,31
Chattogram,Long Beach,2021-10-31,2022-02-01,93
Chattogram,Long Beach,2021-10-31,2022-02-01,93
Chattogram,Long Beach,2021-10-31,2022-02-01,93
